Location,Date,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,Soil_Moisture_Percent,Pesticide_Use_kg_per_ha,Yield_tons_per_ha
Region_C,2020-01-01,Corn,25.888505004666268,177.94994496157955,52.37438134684139,0.5623796116078705,2.892527712379693
Region_D,2020-01-02,Rice,18.323278206449494,20.1245024322056,35.4269834491321,3.4222046910648007,3.095638007309977
Region_A,2020-01-03,Wheat,26.900989255029817,32.89296513143755,39.571766186884254,3.509944389683084,2.8137208642449156
Region_C,2020-01-04,Wheat,28.052928726419115,10.91387752228215,40.58022734808395,4.093951011604864,2.0673287102603473
Region_C,2020-01-05,Wheat,27.7989522396552,47.1805362569958,48.484308822052846,4.69738822577141,3.645836470215384
Region_D,2020-01-06,Wheat,30.403903627773108,16.472671395570604,17.53110666015395,0.5906203202718042,4.085299436516338
Region_A,2020-01-07,Soybeans,29.16961077274452,11.59613492746251,33.932997052347034,1.1920266748094728,4.0148835960763725
Region_A,2020-01-08,Wheat,27.295900396142184,36.34270946622103,42.11283692279473,4.487770823251969,4.319925252635234
Region_C,2020-01-09,Soybeans,24.649171442706766,0.2760505968654886,52.000789564268615,2.563333529841569,3.824340210014868
Region_B,2020-01-10,Soybeans,16.69519533242004,0.38467761352001506,35.08097552493795,3.0406578752005857,2.9672745017830966
Region_C,2020-01-11,Wheat,27.148091095662927,12.36341184337153,21.23447293958126,3.483622416754163,4.339663864431189
Region_C,2020-01-12,Wheat,26.038438435815557,1.8706282919097914,46.197114459661364,3.555799720230368,2.1424824601580648
Region_C,2020-01-13,Corn,26.357894185976868,5.715900958138311,33.646376111743706,4.692831814924287,2.5993286174875196
Region_C,2020-01-14,Rice,18.616257120898453,20.689532170251542,28.103333409096386,4.986272378352513,2.5357999285767554
Region_D,2020-01-15,Wheat,19.594717297958688,81.1225304712823,33.75654610286776,3.740708574189231,4.58005605913931
Region_A,2020-01-16,Corn,30.26576426666452,42.43728712956564,38.1547464234415,1.7924954414231786,4.442788514140076
Region_D,2020-01-17,Corn,24.802224230716725,35.94045504940313,33.952553354617876,4.458885810324546,3.987305237044995
Region_D,2020-01-18,Rice,28.40750348686312,17.37081285183237,17.944339429009307,0.7214941154334272,4.571929865211797
Region_D,2020-01-19,Soybeans,25.141591880652307,134.2316171793108,48.970661968871326,1.539863837935233,2.620717217588012
Region_C,2020-01-20,Wheat,25.148780697478728,25.293151328733416,52.748750412787224,4.5382357285867165,3.8485951198609802
Region_B,2020-01-21,Rice,29.691419029879988,4.556050505828779,46.51521991339506,1.6528618149770973,3.3748255716168356
Region_A,2020-01-22,Wheat,22.41977635891313,47.9946988104977,28.623143295751834,1.4929297682978682,4.346882103884914
Region_B,2020-01-23,Corn,25.480603884704916,6.042797243533146,37.98508466052482,1.1215638191311126,3.3847757674478025
Region_D,2020-01-24,Corn,22.688623556474788,21.17303887116328,39.93478684770542,4.366002909411124,3.115057111589919
Region_D,2020-01-25,Soybeans,22.82751886283842,35.404101485987304,45.987943895619104,2.75026216635989,4.04090851856099
Region_B,2020-01-26,Corn,23.454139382656802,103.66205011494583,46.68340488718081,3.5370194137436965,4.376169167191232
Region_B,2020-01-27,Corn,26.110668858168566,34.01614623279765,32.65826201221504,1.5757987283376336,2.8316548051531982
Region_B,2020-01-28,Rice,22.606256891682612,60.57652560462551,40.819955564135604,3.911181894550474,3.438924328647624
Region_D,2020-01-29,Wheat,31.278780627867604,246.80078709890552,44.57280404615241,3.920024952329443,2.441559366358347
