crop_type,rainfall_mm,avg_temp_c,yield_kg_ha
maize,1485.0,16.37,3661.3
rice,1485.0,16.37,2333.3
wheat,1485.0,16.37,3019.7
maize,1485.0,15.36,2906.8
rice,1485.0,15.36,2853.8
wheat,1485.0,15.36,2069.8
maize,1485.0,16.06,2487.6
rice,1485.0,16.06,4000.0
wheat,1485.0,16.06,2438.8
maize,1485.0,16.05,2418.5
rice,1485.0,16.05,4178.6
wheat,1485.0,16.05,2997.6
maize,1485.0,16.96,2584.8
wheat,1485.0,16.96,2474.5
maize,1485.0,15.67,3130.0
wheat,1485.0,15.67,2870.3
maize,1485.0,15.64,3260.4
wheat,1485.0,15.64,2174.1
maize,1485.0,15.9,3186.2
wheat,1485.0,15.9,2851.6
maize,1485.0,16.27,3341.6
wheat,1485.0,16.27,2803.7
maize,1485.0,16.57,3745.5
wheat,1485.0,16.57,2495.4
maize,1485.0,16.67,3881.1
wheat,1485.0,16.67,3045.5
maize,1485.0,16.59,3813.5
wheat,1485.0,16.59,2822.0
maize,1485.0,16.47,3946.0
wheat,1485.0,16.47,3161.7
maize,1485.0,16.16,4619.7
wheat,1485.0,16.16,3113.0
maize,1485.0,15.67,4544.2
wheat,1485.0,15.67,3158.2
maize,1485.0,15.92,5011.1
wheat,1485.0,15.92,3078.7
maize,1485.0,16.67,4673.2
wheat,1485.0,16.67,3549.6
maize,1485.0,16.71,5000.0
wheat,1485.0,16.71,4016.8
maize,1485.0,16.73,5569.3
wheat,1485.0,16.73,4022.9
maize,1485.0,16.52,6679.0
wheat,1485.0,16.52,3990.5
maize,1485.0,16.45,5986.9
wheat,1485.0,16.45,4230.1
maize,1485.0,16.7,6729.0
wheat,1485.0,16.7,4109.6
maize,1485.0,17.41,6953.3
wheat,1485.0,17.41,4129.2
maize,89.0,17.48,1650.0
rice,89.0,17.48,2800.0
wheat,89.0,17.48,631.5
maize,89.0,16.26,1923.1
rice,89.0,16.26,2678.6
wheat,89.0,16.26,1080.9
maize,89.0,16.27,2282.8
rice,89.0,16.27,2473.3
wheat,89.0,16.27,993.9
maize,89.0,17.0,1250.0
rice,89.0,17.0,2311.1
wheat,89.0,17.0,809.7
maize,89.0,17.88,451.2
rice,89.0,17.88,2137.4
wheat,89.0,17.88,799.9
maize,89.0,17.36,1611.5
