model,feature,importance_mean,importance_std,rank
Decision Tree,Crop,134.03608165094101,18.048684493730782,1
Decision Tree,N,21.756914151109278,5.78701674764372,2
Decision Tree,Fertilizer,19.15141579629212,8.293678272304534,3
Decision Tree,avg_temp_c,4.33275186563015,1.680441783956971,4
Decision Tree,total_rainfall_mm,3.7831212224507467,0.9372348484553037,5
Decision Tree,Area,1.1305879070960752,0.652932381853377,6
Decision Tree,P,0.7702063526547296,0.21507818136520263,7
Decision Tree,avg_humidity_percent,0.7329042105057706,0.04728368218675705,8
Decision Tree,pH,0.21353295980480577,0.03329360583473024,9
Decision Tree,Season,0.19574079773008285,0.05300088953178739,10
Decision Tree,Pesticide,0.07315253877183973,0.01706182528929856,11
Decision Tree,State,0.05833051462747196,0.05883861624867918,12
Decision Tree,Annual_Rainfall,0.052555919372895055,0.021087579574976985,13
Decision Tree,Crop_Year,0.0,0.0,14
Decision Tree,K,-0.21509158644771578,0.13493940608174532,15
Random Forest,Crop,68.9936989717892,4.5376490100246265,1
Random Forest,Season,43.34764944440028,6.958986945422734,2
Random Forest,Area,12.14551294745884,6.939753856151255,3
Random Forest,Fertilizer,11.053365529255046,6.852010932327755,4
Random Forest,Pesticide,10.157617129715351,6.772601160552855,5
Random Forest,N,6.711924533606121,2.735027406028414,6
Random Forest,K,2.944285312680818,2.6666131862047187,7
Random Forest,State,1.428421004894696,2.711321444255683,8
Random Forest,P,1.4229703688801463,2.518422822946718,9
Random Forest,avg_temp_c,1.1232094125999097,1.4585010622931085,10
Random Forest,avg_humidity_percent,0.798079347432307,0.6404347113682493,11
Random Forest,pH,0.6209409351028743,0.7305760958520797,12
Random Forest,Annual_Rainfall,0.08988049132804185,0.781273109168463,13
Random Forest,Crop_Year,1.3677947663381929e-14,1.2761365337369888e-14,14
Random Forest,total_rainfall_mm,-0.14964770566051405,0.36956653988577404,15
