feature,Decision Tree,Random Forest,average_importance
Crop,134.03608165094101,68.9936989717892,101.51489031136511
Season,0.19574079773008285,43.34764944440028,21.771695121065182
Fertilizer,19.15141579629212,11.053365529255046,15.102390662773583
N,21.756914151109278,6.711924533606121,14.2344193423577
Area,1.1305879070960752,12.14551294745884,6.638050427277458
Pesticide,0.07315253877183973,10.157617129715351,5.115384834243596
avg_temp_c,4.33275186563015,1.1232094125999097,2.72798063911503
total_rainfall_mm,3.7831212224507467,-0.14964770566051405,1.8167367583951164
K,-0.21509158644771578,2.944285312680818,1.364596863116551
P,0.7702063526547296,1.4229703688801463,1.0965883607674378
avg_humidity_percent,0.7329042105057706,0.798079347432307,0.7654917789690387
State,0.05833051462747196,1.428421004894696,0.7433757597610839
pH,0.21353295980480577,0.6209409351028743,0.41723694745384005
Annual_Rainfall,0.052555919372895055,0.08988049132804185,0.07121820535046845
Crop_Year,0.0,1.3677947663381929e-14,6.8389738316909644e-15
