mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_iter,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.540410280227661,0.05349843340274021,0.3310573101043701,0.012178060974192289,10,63,250,12,0.08,1.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__max_depth': 12, 'model__learning_rate': 0.08, 'model__l2_regularization': 1.0}",-0.15982378482422188,-0.15798514094120783,-0.151201390623364,-0.15633677212959793,0.0037080327437481993,1,-0.09529210229980922,-0.09825001261957776,-0.0965849547809942,-0.09670902323346041,0.0012107444268221437
1.885396957397461,0.5134854406838014,0.29458141326904297,0.065598710427026,10,63,500,8,0.15,0.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 500, 'model__max_depth': 8, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.0}",-0.16146121940388453,-0.16238040947489338,-0.15490893611868886,-0.15958352166582224,0.0033266640071560804,2,-0.09739816133534547,-0.10627427060849466,-0.0853188169701846,-0.09633041630467491,0.008588279567128362
1.6425716082255046,0.09368650442593757,0.25049662590026855,0.0461952725093218,10,31,350,12,0.15,1.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 350, 'model__max_depth': 12, 'model__learning_rate': 0.15, 'model__l2_regularization': 1.0}",-0.16392382402737962,-0.16342924151740712,-0.15793413663139214,-0.16176240072539294,0.0027145113059081354,3,-0.10001624587021453,-0.11062953766598047,-0.10259428837092083,-0.10441335730237195,0.004519752907593227
4.573488473892212,0.6189728362889125,0.7176873683929443,0.16862537613385709,30,63,500,12,0.05,0.01,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_iter': 500, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.01}",-0.166017380921145,-0.1664170764743188,-0.15990965912411592,-0.1641147055065266,0.0029778908019463986,4,-0.10265813205485072,-0.1113370039956668,-0.10055675127174697,-0.10485062910742149,0.004666100777025995
2.787191947301229,0.384969240313099,0.3783558209737142,0.08120749944819568,10,63,250,,0.05,1.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__max_depth': None, 'model__learning_rate': 0.05, 'model__l2_regularization': 1.0}",-0.17206718735756077,-0.16342318758670618,-0.16302584864400976,-0.16617207452942556,0.004171629258149938,5,-0.11950298003816265,-0.1198967057561088,-0.1191967910781254,-0.11953215895746562,0.00028648292108829
2.963841120402018,0.5162414294037024,0.5792872111002604,0.10566546546935833,30,31,500,12,0.08,0.01,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_iter': 500, 'model__max_depth': 12, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.01}",-0.1687404977461732,-0.17311198300687083,-0.16432433955461026,-0.1687256067692181,0.003587555868732039,6,-0.11073474196903152,-0.13440153048987896,-0.11368406774748774,-0.11960678006879939,0.010530530554959132
2.190455675125122,0.17804745390829074,0.30527377128601074,0.05799747659285253,30,63,350,8,0.08,0.0,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_iter': 350, 'model__max_depth': 8, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.0}",-0.1787213063826634,-0.17446107965897412,-0.16476694601366304,-0.17264977735176687,0.00583904417766314,7,-0.12975122790674518,-0.1307155082689717,-0.1104220852145645,-0.12362960713009379,0.009347421588015018
2.7434730529785156,0.5350766301890548,0.4724314212799072,0.13925166475481185,30,31,500,12,0.05,0.0,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_iter': 500, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0}",-0.17574189669329268,-0.18106357463085893,-0.1721184441117024,-0.17630797181195135,0.0036737057386386344,8,-0.12921403982913762,-0.15038906323615747,-0.13295982317778235,-0.13752097541435915,0.00922671795623564
3.9190646012624106,0.2807520167336858,0.5947097142537435,0.009284571037791506,30,63,350,12,0.03,0.0,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_iter': 350, 'model__max_depth': 12, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.0}",-0.18229954872238516,-0.1759684083507534,-0.17340716186022231,-0.1772250396444536,0.0037374659581791174,9,-0.1403596160002683,-0.13984600643689762,-0.13936230687735185,-0.1398559764381726,0.0004072107745440643
1.9183170795440674,0.4434349036136004,0.38616760571797687,0.09102143460752625,10,15,500,16,0.08,1.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 16, 'model__learning_rate': 0.08, 'model__l2_regularization': 1.0}",-0.18106821363754183,-0.17757598208526096,-0.1735252694271722,-0.17738982171665832,0.003082206309590139,10,-0.13895707150071623,-0.14836418965278955,-0.1398569479864089,-0.14239273637997155,0.004238406545268488
