model,feature,importance_mean,importance_std,rank
Random Forest,Crop,68.9936989717892,4.5376490100246265,1
Random Forest,Season,43.34764944440028,6.958986945422734,2
Random Forest,Area,12.14551294745884,6.939753856151255,3
Random Forest,Fertilizer,11.053365529255046,6.852010932327755,4
Random Forest,Pesticide,10.157617129715351,6.772601160552855,5
Random Forest,N,6.711924533606121,2.735027406028414,6
Random Forest,K,2.944285312680818,2.6666131862047187,7
Random Forest,State,1.428421004894696,2.711321444255683,8
Random Forest,P,1.4229703688801463,2.518422822946718,9
Random Forest,avg_temp_c,1.1232094125999097,1.4585010622931085,10
Random Forest,avg_humidity_percent,0.798079347432307,0.6404347113682493,11
Random Forest,pH,0.6209409351028743,0.7305760958520797,12
Random Forest,Annual_Rainfall,0.08988049132804185,0.781273109168463,13
Random Forest,Crop_Year,1.3677947663381929e-14,1.2761365337369888e-14,14
Random Forest,total_rainfall_mm,-0.14964770566051405,0.36956653988577404,15
