Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Mesta,1997,Kharif,Andhra Pradesh,85800.0,927.5,8165586.0,26598.0,5.98,78,45,22,6.8,28.21,1191.08,69.56
Sugarcane,1997,Kharif,Andhra Pradesh,192500.0,927.5,18320225.0,59675.0,77.1065,78,45,22,6.8,28.21,1191.08,69.56
Mesta,1998,Kharif,Andhra Pradesh,69600.0,1048.3,6876480.0,20184.0,7.7425,78,45,22,6.8,28.21,1100.41,71.95
Sugarcane,1998,Whole Year,Andhra Pradesh,213700.0,1048.3,21113560.0,61973.0,81.223,78,45,22,6.8,28.21,1100.41,71.95
Onion,1999,Whole Year,Andhra Pradesh,34925.0,650.4,3706590.25,9429.75,16.27210526,78,45,22,6.8,28.03,603.67,66.91
Sugarcane,1999,Whole Year,Andhra Pradesh,232416.0,650.4,24666310.08,62752.32,76.31571429,78,45,22,6.8,28.03,603.67,66.91
Banana,2000,Whole Year,Andhra Pradesh,49051.0,935.6,4815336.67,12753.26,17.63090909,78,45,22,6.8,27.74,1070.25,70.73
Coconut,2000,Whole Year,Andhra Pradesh,102646.0,935.6,10076757.82,26687.96,9101.813684,78,45,22,6.8,27.74,1070.25,70.73
Mesta,2000,Kharif,Andhra Pradesh,77823.0,935.6,7639883.91,20233.98,8.745384615,78,45,22,6.8,27.74,1070.25,70.73
Onion,2000,Kharif,Andhra Pradesh,17058.0,935.6,1674583.86,4435.08,12.77315789,78,45,22,6.8,27.74,1070.25,70.73
Onion,2000,Rabi,Andhra Pradesh,13248.0,935.6,1300556.16,3444.48,22.5085,78,45,22,6.8,27.74,1070.25,70.73
Potato,2000,Whole Year,Andhra Pradesh,2489.0,935.6,244345.13,647.14,6.14375,78,45,22,6.8,27.74,1070.25,70.73
Sugarcane,2000,Whole Year,Andhra Pradesh,237150.0,935.6,23281015.5,61659.0,73.8955,78,45,22,6.8,27.74,1070.25,70.73
Sweet Potato,2000,Whole Year,Andhra Pradesh,1938.0,935.6,190253.46,503.88,13.93277778,78,45,22,6.8,27.74,1070.25,70.73
Tapioca,2000,Whole Year,Andhra Pradesh,21506.0,935.6,2111244.02,5591.56,7.528,78,45,22,6.8,27.74,1070.25,70.73
Banana,2001,Whole Year,Andhra Pradesh,50507.0,928.4,5158279.91,13131.82,11.73363636,78,45,22,6.8,28.08,910.13,68.69
Coconut,2001,Whole Year,Andhra Pradesh,104244.0,928.4,10646439.72,27103.44,9057.671111,78,45,22,6.8,28.08,910.13,68.69
Maize,2001,Rabi,Andhra Pradesh,90752.0,928.4,9268501.76,23595.52,5.592857143,78,45,22,6.8,28.08,910.13,68.69
Mesta,2001,Kharif,Andhra Pradesh,78942.0,928.4,8062346.46,20524.92,8.370909091,78,45,22,6.8,28.08,910.13,68.69
Onion,2001,Kharif,Andhra Pradesh,17736.0,928.4,1811377.68,4611.36,12.74411765,78,45,22,6.8,28.08,910.13,68.69
Onion,2001,Rabi,Andhra Pradesh,14089.0,928.4,1438909.57,3663.14,21.08136364,78,45,22,6.8,28.08,910.13,68.69
Potato,2001,Whole Year,Andhra Pradesh,2348.0,928.4,239801.24,610.48,5.85,78,45,22,6.8,28.08,910.13,68.69
Sugarcane,2001,Whole Year,Andhra Pradesh,218298.0,928.4,22294774.74,56757.48,84.989,78,45,22,6.8,28.08,910.13,68.69
Sweet Potato,2001,Whole Year,Andhra Pradesh,1945.0,928.4,198642.85,505.7,14.05764706,78,45,22,6.8,28.08,910.13,68.69
Tapioca,2001,Whole Year,Andhra Pradesh,17694.0,928.4,1807088.22,4600.44,7.83,78,45,22,6.8,28.08,910.13,68.69
Banana,2002,Whole Year,Andhra Pradesh,39354.0,648.1,3725643.18,9838.5,26.83952381,78,45,22,6.8,28.54,768.22,66.52
Coconut,2002,Whole Year,Andhra Pradesh,105291.0,648.1,9967898.97,26322.75,9202.625556,78,45,22,6.8,28.54,768.22,66.52
Maize,2002,Rabi,Andhra Pradesh,111990.0,648.1,10602093.3,27997.5,5.602272727,78,45,22,6.8,28.54,768.22,66.52
Mesta,2002,Kharif,Andhra Pradesh,81169.0,648.1,7684269.23,20292.25,7.506363636,78,45,22,6.8,28.54,768.22,66.52
Onion,2002,Kharif,Andhra Pradesh,15403.0,648.1,1458202.01,3850.75,10.49411765,78,45,22,6.8,28.54,768.22,66.52
Onion,2002,Rabi,Andhra Pradesh,11725.0,648.1,1110005.75,2931.25,19.15952381,78,45,22,6.8,28.54,768.22,66.52
Potato,2002,Whole Year,Andhra Pradesh,2672.0,648.1,252958.24,668.0,6.946666667,78,45,22,6.8,28.54,768.22,66.52
Sugarcane,2002,Whole Year,Andhra Pradesh,232471.0,648.1,22008029.57,58117.75,69.35666667,78,45,22,6.8,28.54,768.22,66.52
Sweet Potato,2002,Whole Year,Andhra Pradesh,1286.0,648.1,121745.62,321.5,11.29588235,78,45,22,6.8,28.54,768.22,66.52
Banana,2003,Whole Year,Andhra Pradesh,38714.0,826.0,3831911.72,9291.36,15.68263158,78,45,22,6.8,28.31,857.23,68.83
Coconut,2003,Whole Year,Andhra Pradesh,103965.0,826.0,10290455.7,24951.6,9524.628235,78,45,22,6.8,28.31,857.23,68.83
Maize,2003,Rabi,Andhra Pradesh,162802.0,826.0,16114141.96,39072.48,5.081818182,78,45,22,6.8,28.31,857.23,68.83
Mesta,2003,Kharif,Andhra Pradesh,59177.0,826.0,5857339.46,14202.48,7.792857143,78,45,22,6.8,28.31,857.23,68.83
Onion,2003,Kharif,Andhra Pradesh,16862.0,826.0,1669000.76,4046.88,12.80157895,78,45,22,6.8,28.31,857.23,68.83
